"subject","trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","response","stimulus","native","AOL","LearnType1","LearnType2","LearnType3","LearnType4","LearnType5","LearnType6","which","AOA","timespent","word1","word2","sameordiffstims","vowel_word1","vowel_word2","vowelcontrast","tributesto","tributesto2","trialType","cont"
"0p5y","html-keyboard-response",165,547055,"0.0-10.0-1.75",NA,NA,NA,NA,NA,748,"p","tour1500tier","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","tour","tier",1,"u","i_long","u/i_long","u/i","0","different","u/i"
"0p5y","html-keyboard-response",167,551851,"0.0-10.0-1.76",NA,NA,NA,NA,NA,1304,"p","biene1500buehne","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","biene","buehne",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",169,555913,"0.0-10.0-1.77",NA,NA,NA,NA,NA,266,"q","stiel1500stiel","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","stiel","stiel",0,"i_long","i_long","i_long/i_long","u/i","0","same","i/i"
"0p5y","html-keyboard-response",171,559654,"0.0-10.0-1.78",NA,NA,NA,NA,NA,388,"p","biene1500buehne","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","biene","buehne",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0p5y","html-keyboard-response",173,563280,"0.0-10.0-1.79",NA,NA,NA,NA,NA,253,"p","buehne1500biene","Englisch","12","classeshome","selflearn",NA,"uni","classesabroad","immersion","4","18","1 Jahr","buehne","biene",1,"y","i_long","y/i_long","y/i","0","different","i/y"
"0pan","html-keyboard-response",15,226548,"0.0-10.0-1.0",NA,NA,NA,NA,NA,431,"q","tuer1500tuer","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","tuer","tuer",0,"y","y","y/y","y/i","u/i","same","y/y"
"0pan","html-keyboard-response",17,231409,"0.0-10.0-1.1",NA,NA,NA,NA,NA,412,"p","spuelen1500spielen","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","spuelen","spielen",1,"y","i_long","y/i_long","y/i","0","different","i/y"
"0pan","html-keyboard-response",19,235627,"0.0-10.0-1.2",NA,NA,NA,NA,NA,289,"q","kiel1500kiel","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","kiel","kiel",0,"i_long","i_long","i_long/i_long","y/i","0","same","i/i"
"0pan","html-keyboard-response",21,240419,"0.0-10.0-1.3",NA,NA,NA,NA,NA,260,"p","spielen1500spulen","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","spielen","spulen",1,"i_long","u","u/i_long","u/i","0","different","u/i"
"0pan","html-keyboard-response",23,244773,"0.0-10.0-1.4",NA,NA,NA,NA,NA,656,"p","tour1500tier","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","tour","tier",1,"u","i_long","u/i_long","u/i","0","different","u/i"
"0pan","html-keyboard-response",25,249587,"0.0-10.0-1.5",NA,NA,NA,NA,NA,930,"p","bluten1500blueten","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","bluten","blueten",1,"u","y","u/y","u/y","0","different","u/y"
"0pan","html-keyboard-response",27,254323,"0.0-10.0-1.6",NA,NA,NA,NA,NA,406,"p","segel1500siegel","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","segel","siegel",1,"e_long","i_long","e_long/i_long","i/e","0","different","e/i"
"0pan","html-keyboard-response",29,259521,"0.0-10.0-1.7",NA,NA,NA,NA,NA,743,"q","spuelen1500spuelen","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","spuelen","spuelen",0,"y","y","y/y","y/i","u/y","same","y/y"
"0pan","html-keyboard-response",31,264313,"0.0-10.0-1.8",NA,NA,NA,NA,NA,336,"p","spielen1500spuelen","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","spielen","spuelen",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0pan","html-keyboard-response",33,268496,"0.0-10.0-1.9",NA,NA,NA,NA,NA,361,"p","biene1500buehne","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","biene","buehne",1,"i_long","y","y/i_long","y/i","0","different","i/y"
"0pan","html-keyboard-response",35,272321,"0.0-10.0-1.10",NA,NA,NA,NA,NA,283,"q","tuer1500tuer","Englisch","11",NA,"selflearn",NA,"uni","classesabroad","immersion","Deutsch an der Uni","24","7 Monate","tuer","tuer",0,"y","y","y/y","y/i","u/i","same","y/y"
